Year(~るO),Urban_Lane_length(カ跋郐妯D[そ]),Urban_Rental_station(カ跋郐妯箔莎讣[]),Urban_Bicycles(カ跋i拨郐妯计[进]),Urban_Number_of_rentals_per_month(カ跋郐妯Cる箔搔讣[Ω]),Urban_Number_of_rentals_per_days(カ跋郐妯Cら箔搔讣[Ω]),Riverside_Lane_length(e镭郐妯D[そ]),Riverside_Rental_station(e镭郐妯箔莎讣[]),Riverside_Bicycles(e镭i拨郐妯计[进]),Riverside_Number_of_rentals_per_month(e镭郐妯Cる箔搔讣[Ω]),Riverside_Number_of_rentals_per_days(e镭郐妯Cら箔搔讣[Ω])
103~11る,382.65,180,5911,2129694,70990,111.73,10,2500,34584,1153
103~12る,382.65,196,6406,1983106,63971,111.73,10,2500,13787,445
104~1る,382.65,196,6406,2270149,73231,111.73,10,2500,37148,1198
104~2る,382.65,196,6406,1880072,67145,111.73,10,2500,38410,1372
104~3る,382.65,196,6406,2065266,66621,111.73,10,2500,35678,1151
104~4る,382.65,196,6406,1662426,55414,111.73,10,2500,33414,1114
104~5る,382.65,196,6406,1554657,50150,111.73,10,2500,24933,804
104~6る,382.65,196,6406,1534574,51152,111.73,10,2500,17926,598
104~7る,383.88,196,6406,1584211,51104,111.73,10,2500,23524,759
104~8る,383.88,196,6406,1345017,43388,111.73,10,2500,14957,482
104~9る,383.88,196,6406,1483945,49465,111.73,10,2500,26802,893
104~10る,383.88,196,6406,1611178,51973,111.73,10,2500,34622,1117
104~11る,383.88,196,6406,1601139,53371,111.73,10,2500,40380,1346
104~12る,386.38,212,6934,1490104,48068,111.73,10,2500,20715,668
105~1る,386.74,218,7132,1100895,35513,111.73,10,2500,23335,753
105~2る,379.8,222,7264,1024025,35311,111.73,10,2500,39249,1353
105~3る,379.8,225,7363,1242340,40075,111.73,10,2500,25853,834
105~4る,379.54,234,7660,1582565,52752,111.73,10,2500,38855,1295
105~5る,379.54,237,7759,1716890,55384,111.73,10,2500,24115,778
105~6る,384.65,248,8122,1550056,51669,111.73,10,2500,18704,623
105~7る,384.65,253,8287,1685096,54358,111.73,10,2500,19225,620
105~8る,384.65,257,8419,1870294,60332,111.73,10,2500,21723,701
105~9る,390.19,258,8452,1535254,51175,111.73,10,2500,22876,763
105~10る,389.27,265,8683,1617197,52168,111.73,10,2500,29740,959
105~11る,389.27,272,8914,1640296,54677,111.73,10,2500,29417,981
105~12る,389.67,288,9442,1866438,60208,111.73,10,2500,30936,998
106~1る,389.67,297,9739,1626040,52453,111.73,10,2500,31685,1022
106~2る,389.67,304,9970,1489878,53210,111.73,10,2500,24204,864
106~3る,389.67,312,10234,1719024,55452,111.73,10,2500,28991,935
106~4る,389.67,322,10564,1900724,63357,111.73,10,2500,47746,1592
106~5る,389.67,326,10696,2074281,66912,111.73,10,2500,36671,1183
106~6る,389.67,344,11290,1664401,55480,111.73,10,2500,10706,357
106~7る,390.05,358,11752,2014758,64992,111.73,10,2500,20240,653
106~8る,390.05,370,12148,2128110,68649,111.73,10,2500,20856,673
106~9る,390.05,377,12379,1993801,66460,111.73,10,2500,23280,776
106~10る,390.05,386,12676,1725624,55665,111.73,10,2500,28449,918
106~11る,390.05,395,12973,1853390,61780,111.73,10,2500,13590,453
106~12る,390.66,400,13072,1763642,56892,111.73,10,2500,21834,704
107~1る,390.66,400,13072,1596746,51508,111.73,10,2500,21601,697
107~2る,390.66,400,13072,1123612,40129,111.73,10,2500,24128,862
107~3る,390.66,400,13072,2191938,70708,111.73,10,2500,43315,1397
107~4る,390.66,400,13072,2221447,74048,111.73,10,2500,42346,1412
107~5る,390.96,400,13072,2653719,85604,111.73,10,2500,27239,879
107~6る,390.96,400,13072,2383194,79440,111.73,10,2500,27368,912
107~7る,390.96,400,13072,2521762,81347,111.73,10,2500,22133,714
107~8る,390.96,400,13072,2390626,77117,111.73,10,2500,17713,571
107~9る,390.96,400,13072,2182678,72756,111.73,10,2500,25289,843
107~10る,390.96,400,13072,2386920,76997,111.73,9,2380,34848,1124
107~11る,390.96,400,13072,2380747,79358,111.73,9,2380,31595,1053
107~12る,390.96,400,13072,2219347,71592,111.73,9,2380,18883,609
108~1る,390.96,400,13072,2334522,75307,111.73,9,2380,19595,632
108~2る,390.96,400,13072,1928774,68885,111.73,9,2380,28230,1008
108~3る,390.96,400,13072,2229157,71908,111.73,9,2380,27572,889
108~4る,391.77,400,13072,2447253,81575,111.73,9,2380,40188,1340
108~5る,391.73,400,13072,2453829,79156,111.73,9,2380,28325,914
108~6る,391.73,400,13072,2215386,73846,111.73,9,2380,30972,1032
108~7る,391.73,400,13072,2544398,82077,111.73,9,2380,19853,640
108~8る,392.06,400,13072,2425173,78231,111.73,9,2380,18234,588
108~9る,392.06,400,13072,2174496,72483,111.73,9,2380,21565,719
108~10る,392.06,400,13072,2766054,89228,111.73,9,2380,42035,1356
108~11る,392.06,400,13072,2582103,86070,111.68,9,2380,37996,1267
108~12る,392.06,400,13072,2363788,76251,111.68,9,2380,24503,790
109~1る,392.06,502,13572,2268414,73175,111.68,9,2380,25179,812
109~2る,392.06,502,13672,2326697,80231,111.68,9,2380,50813,1752
109~3る,392.06,503,13672,2591386,83593,111.68,9,2380,30359,979
109~4る,392.06,503,13672,2350559,78352,111.68,9,2380,27109,904
109~5る,391.74,503,13672,2447385,78948,111.68,9,2380,27686,893
109~6る,391.74,503,13672,2635352,87845,111.68,9,2380,19789,660
109~7る,391.74,503,13672,2841797,91671,111.68,9,2380,20277,654
109~8る,391.74,503,13672,2700782,87122,111.68,9,2380,25366,818
109~9る,392.79,503,13672,2707858,90262,111.68,9,2380,19019,634
109~10る,392.79,503,13672,2635522,85017,111.68,9,2380,40791,1316
109~11る,392.79,503,13672,2730442,91015,111.68,9,2380,28806,960
109~12る,392.79,503,13672,2072168,66844,111.68,9,2380,16996,548
110~1る,392.79,503,13672,2291365,73915,111.68,9,2380,40215,1297
110~2る,392.79,503,13672,2208191,78864,111.68,9,2380,42241,1509
110~3る,392.79,503,14072,2799636,90311,111.68,9,2380,40160,1295
110~4る,392.79,503,14072,2717801,90593,111.68,9,2380,46173,1539
110~5る,395.48,697,15222,1956980,63128,111.68,9,2380,13611,439
110~6る,395.48,782,16372,1147429,38248,111.68,9,2380,0,0
110~7る,395.48,886,17561,1578183,50909,111.68,9,2380,10254,331
110~8る,395.48,970,17826,2070079,66777,111.68,9,2380,29268,944
110~9る,396.15,1047,19958,2474077,82469,111.68,9,2380,28635,955
110~10る,396.15,1114,20845,2643406,85271,111.68,9,2380,28977,935
110~11る,396.15,1195,21562,2833737,94458,111.68,9,2380,26032,868
110~12る,397.64,1240,21562,2816235,90846,111.68,9,2380,19363,625
111~1る,397.64,1304,21792,2474360,79818,111.68,9,2380,24638,795
111~2る,397.64,1324,22361,1753064,62609,111.68,9,2380,33530,1198
111~3る,397.64,1398,21160,3185486,102758,111.68,9,2380,28728,927
111~4る,397.64,1450,21869,2885346,96178,111.68,9,2380,42968,1432
111~5る,397.64,1482,22209,2103810,67865,111.68,9,2380,23532,759
111~6る,397.64,1477,21175,2602521,86751,111.68,9,2380,23936,798
111~7る,397.64,1497,19877,3307709,106700,111.68,9,2380,25478,822
111~8る,397.64,1518,19200,3522522,113630,111.68,9,2380,21389,690
111~9る,397.64,1548,18227,3177220,105907,111.68,9,2380,16546,552
111~10る,398.24,1580,17267,2829746,91282,111.68,9,2380,15147,489
111~11る,398.24,1597,17267,3473784,115793,111.68,9,2380,31647,1055
111~12る,400.9,1240,13267,2813139,90746,111.68,9,2380,11152,360
112~1る,400.9,1244,13267,2887137,93133,111.68,9,2380,25472,822
112~2る,400.9,1252,13267,3077135,109898,111.68,9,2380,30503,1089
112~3る,400.9,1277,13267,4098606,132213,111.68,9,2380,29293,945
112~4る,400.9,1279,13267,3663252,122108,111.68,9,2380,45275,1509
112~5る,404.44,1281,15047,3978801,128348,111.68,9,2380,21033,678
112~6る,404.44,1287,15047,3655769,121859,111.68,9,2380,15678,523
112~7る,404.7,1293,15047,4015322,129527,111.68,9,2380,16449,531
112~8る,404.7,1309,15047,3873625,124956,111.68,9,2380,16593,535
112~9る,404.7,1317,15047,4191260,139709,111.68,9,2380,20507,684
