,士林,大同,大安,中山,中正,內湖,文山,北投,松山,信義,南港,萬華
總數,740,339,482,458,931,449,550,513,573,1005,388,413
,3,3,0,1,25,3,3,3,1,3,7,1
,5,3,3,5,4,3,3,5,1,10,5,7
,5,3,3,3,10,3,3,3,22,3,3,17
,5,3,3,4,5,3,3,3,9,3,3,12
,4,6,3,2,3,3,3,6,8,3,3,1
,3,3,3,8,3,4,3,3,6,21,6,3
,1,3,3,6,6,3,3,3,5,3,3,3
,2,3,3,1,3,3,4,3,6,3,2,0
,2,3,2,1,3,5,3,3,5,3,3,1
,3,3,1,2,5,3,3,3,5,3,3,0
,3,2,3,3,3,3,3,2,3,3,2,3
,3,3,1,3,4,3,3,3,3,2,5,4
,2,3,1,2,10,3,3,3,16,2,8,3
,3,3,3,1,3,3,3,4,8,3,3,6
,51,12,8,3,3,6,2,1,3,2,3,0
,37,5,2,3,3,3,75,22,2,4,5,2
,4,5,3,1,8,3,22,2,6,3,46,2
,24,5,5,5,1,3,10,9,3,6,12,14
,22,3,6,3,6,1,14,4,3,3,36,3
,13,3,3,4,0,3,16,6,3,5,22,1
,6,5,5,15,6,14,2,1,42,3,13,3
,46,5,0,2,15,1,11,17,21,3,2,2
,8,2,3,5,24,3,3,7,30,27,2,1
,2,12,3,4,12,3,2,2,8,8,2,1
,1,2,3,1,10,3,1,3,0,28,6,17
,17,3,3,2,31,1,3,3,3,5,11,2
,3,3,3,1,9,3,3,1,3,12,0,3
,2,3,3,0,5,1,3,3,3,26,4,2
,3,3,3,1,2,2,2,2,3,2,3,3
,3,3,3,3,3,1,4,3,1,3,3,53
,3,12,3,3,3,1,3,3,3,6,2,3
,3,4,3,10,9,1,1,3,5,0,1,1
,3,3,18,2,7,2,3,1,2,2,1,3
,2,1,3,1,21,1,3,25,6,3,1,5
,2,1,3,1,3,1,1,3,3,3,12,6
,3,1,1,2,8,1,5,3,2,2,45,6
,3,1,1,1,24,1,3,7,1,2,3,3
,4,1,3,1,5,3,55,3,1,1,2,0
,3,1,5,9,3,6,23,3,1,1,3,10
,3,1,13,9,3,3,1,2,10,1,2,1
,3,1,26,2,2,3,1,3,1,24,2,1
,3,1,17,3,3,3,1,3,2,13,5,1
,10,1,1,3,9,2,3,3,1,1,2,5
,4,1,3,2,3,4,8,3,3,1,3,5
,3,1,1,1,2,18,5,3,1,1,7,1
,2,1,18,1,3,1,2,3,1,1,12,1
,6,1,2,1,6,1,1,3,40,1,2,6
,3,1,24,3,3,1,2,3,1,1,1,12
,2,1,9,1,2,1,1,4,1,1,1,1
,1,1,14,2,5,1,6,6,1,2,11,2
,3,1,1,3,13,1,40,2,1,1,9,3
,3,12,1,5,1,1,4,1,7,1,8,2
,1,20,1,1,10,1,3,1,1,1,6,1
,1,4,2,1,9,0,3,1,1,39,1,6
,1,4,31,2,6,1,9,3,1,48,1,6
,1,4,5,17,8,1,2,5,0,18,1,3
,1,2,8,1,12,1,2,2,3,16,1,3
,1,3,8,30,1,1,5,2,2,39,1,5
,1,3,2,1,1,10,6,1,1,5,1,6
,1,5,6,11,1,19,7,1,3,24,1,7
,1,3,2,1,1,3,10,1,3,22,1,7
,1,2,1,3,1,6,5,3,4,38,1,3
,1,3,1,2,1,5,2,1,5,14,1,8
,1,12,1,6,1,2,2,1,12,33,1,4
,1,6,3,26,0,1,2,4,5,11,7,8
,1,5,1,1,34,1,2,3,10,19,3,12
,1,3,1,1,1,1,2,2,3,9,,2
,1,3,3,1,20,1,1,3,3,1,,3
,1,3,4,5,2,19,1,9,1,1,,1
,1,1,1,2,1,6,1,7,1,2,,1
,1,3,26,1,1,1,3,4,1,2,,1
,1,2,5,2,1,1,1,4,1,2,,1
,1,2,22,1,1,1,1,1,3,3,,1
,1,2,5,2,1,1,12,1,2,4,,1
,1,3,1,11,1,1,8,1,38,1,,1
,1,1,1,3,18,1,3,1,12,3,,0
,1,1,1,2,4,6,2,1,16,5,,6
,1,1,1,6,7,3,5,1,1,6,,3
,1,1,1,2,28,1,13,1,1,2,,2
,1,1,2,2,12,1,2,1,1,35,,1
,1,4,1,2,1,1,1,1,1,5,,2
,23,4,1,6,1,1,1,9,1,250,,1
,5,5,1,7,1,1,1,4,1,1,,1
,19,2,1,4,2,1,1,14,1,1,,2
,19,3,1,2,2,9,1,2,1,1,,1
,3,3,1,2,1,7,1,1,1,1,,1
,7,1,2,1,2,11,1,1,1,1,,1
,1,1,1,1,2,1,1,1,1,2,,1
,0,1,1,1,3,2,1,1,1,8,,2
,13,2,2,1,1,2,1,3,1,1,,1
,2,1,1,1,11,2,1,1,1,1,,1
,3,1,1,1,7,2,1,4,3,1,,1
,18,1,1,2,2,2,1,1,1,2,,1
,6,1,1,6,7,3,1,1,1,1,,1
,11,1,1,2,3,1,1,1,1,1,,1
,4,1,1,8,9,1,1,1,1,2,,1
,10,1,1,8,6,1,1,1,1,1,,1
,4,31,1,1,12,1,1,1,1,1,,1
,23,5,1,3,9,1,25,1,1,1,,1
,14,,1,1,3,1,4,1,1,1,,1
,2,,1,2,18,1,,1,26,1,,3
,3,,1,1,2,1,,1,20,1,,11
,1,,1,1,1,1,,1,4,1,,4
,1,,1,2,1,10,,1,40,1,,2
,1,,1,1,1,3,,1,,1,,6
,1,,1,2,2,3,,3,,1,,9
,1,,1,1,1,1,,18,,1,,4
,1,,1,6,1,2,,117,,1,,
,31,,1,6,1,1,,16,,1,,
,5,,1,1,1,1,,10,,1,,
,1,,1,1,2,3,,2,,1,,
,9,,1,1,27,3,,3,,1,,
,18,,1,1,6,1,,,,1,,
,1,,9,1,12,1,,,,1,,
,1,,19,1,6,1,,,,12,,
,1,,7,1,2,1,,,,19,,
,1,,4,1,1,1,,,,,,
,1,,3,1,2,2,,,,,,
,1,,1,1,9,1,,,,,,
,1,,,1,1,1,,,,,,
,1,,,1,2,1,,,,,,
,1,,,1,3,1,,,,,,
,1,,,1,3,1,,,,,,
,1,,,1,2,2,,,,,,
,1,,,1,1,1,,,,,,
,1,,,1,2,1,,,,,,
,2,,,1,2,1,,,,,,
,1,,,1,1,1,,,,,,
,1,,,1,2,1,,,,,,
,1,,,1,3,1,,,,,,
,1,,,1,2,16,,,,,,
,14,,,1,1,16,,,,,,
,37,,,1,1,66,,,,,,
,2,,,1,1,1,,,,,,
,21,,,1,2,,,,,,,
,,,,1,1,,,,,,,
,,,,1,1,,,,,,,
,,,,1,1,,,,,,,
,,,,2,1,,,,,,,
,,,,1,3,,,,,,,
,,,,1,1,,,,,,,
,,,,1,1,,,,,,,
,,,,1,1,,,,,,,
,,,,1,1,,,,,,,
,,,,1,0,,,,,,,
,,,,0,1,,,,,,,
,,,,1,1,,,,,,,
,,,,28,1,,,,,,,
,,,,5,1,,,,,,,
,,,,,1,,,,,,,
,,,,,1,,,,,,,
,,,,,1,,,,,,,
,,,,,100,,,,,,,
,,,,,25,,,,,,,
,,,,,18,,,,,,,
,,,,,3,,,,,,,
,,,,,10,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,740,339,482,458,931,449,550,513,573,1005,388,413