年/季,行政區, 總人數, 男生人數, 女生人數
106年第1季, 松山區,269,107,162
106年第1季, 信義區,294,144,150
106年第1季, 大安區,500,209,291
106年第1季, 中山區,410,222,188
106年第1季, 中正區,340,175,165
106年第1季, 大同區,242,156,86
106年第1季, 萬華區,1031,715,316
106年第1季, 文山區,410,196,214
106年第1季, 南港區,182,88,94
106年第1季, 內湖區,131,61,70
106年第1季, 士林區,350,186,164
106年第1季, 北投區,237,120,117
106年第2季, 松山區,280,105,175
106年第2季, 信義區,382,187,195
106年第2季, 大安區,547,229,318
106年第2季, 中山區,463,252,211
106年第2季, 中正區,369,195,174
106年第2季, 大同區,250,163,87
106年第2季, 萬華區,1086,738,348
106年第2季, 文山區,469,222,247
106年第2季, 南港區,201,91,110
106年第2季, 內湖區,149,67,82
106年第2季, 士林區,375,197,178
106年第2季, 北投區,249,128,121
106年第3季, 松山區,282,103,179
106年第3季, 信義區,274,141,133
106年第3季, 大安區,565,233,332
106年第3季, 中山區,482,257,225
106年第3季, 中正區,363,192,171
106年第3季, 大同區,260,171,89
106年第3季, 萬華區,1095,731,364
106年第3季, 文山區,431,206,225
106年第3季, 南港區,191,89,102
106年第3季, 內湖區,156,72,84
106年第3季, 士林區,384,199,185
106年第3季, 北投區,241,125,116
106年第4季, 松山區,278,96,182
106年第4季, 信義區,293,141,152
106年第4季, 大安區,581,241,340
106年第4季, 中山區,483,252,231
106年第4季, 中正區,359,186,173
106年第4季, 大同區,267,173,94
106年第4季, 萬華區,1080,718,362
106年第4季, 文山區,438,200,238
106年第4季, 南港區,197,88,109
106年第4季, 內湖區,156,74,82
106年第4季, 士林區,378,198,180
106年第4季, 北投區,234,120,114
107年第1季, 松山區,292,102,190
107年第1季, 信義區,307,147,160
107年第1季, 大安區,582,225,357
107年第1季, 中山區,473,238,235
107年第1季, 中正區,357,186,171
107年第1季, 大同區,243,159,84
107年第1季, 萬華區,995,656,339
107年第1季, 文山區,438,196,242
107年第1季, 南港區,200,93,107
107年第1季, 內湖區,170,80,90
107年第1季, 士林區,385,198,187
107年第1季, 北投區,231,121,110
107年第2季, 松山區,251,101,150
107年第2季, 信義區,318,145,173
107年第2季, 大安區,593,234,359
107年第2季, 中山區,477,232,245
107年第2季, 中正區,357,183,174
107年第2季, 大同區,256,164,92
107年第2季, 萬華區,1093,720,373
107年第2季, 文山區,438,191,247
107年第2季, 南港區,206,97,109
107年第2季, 內湖區,178,83,95
107年第2季, 士林區,387,196,191
107年第2季, 北投區,241,119,122
107年第3季, 松山區,319,116,203
107年第3季, 信義區,336,152,184
107年第3季, 大安區,623,242,381
107年第3季, 中山區,494,237,257
107年第3季, 中正區,381,191,190
107年第3季, 大同區,266,169,97
107年第3季, 萬華區,1088,719,369
107年第3季, 文山區,459,197,262
107年第3季, 南港區,203,97,106
107年第3季, 內湖區,177,80,97
107年第3季, 士林區,394,199,195
107年第3季, 北投區,253,125,128
107年第4季, 松山區,339,117,222
107年第4季, 信義區,331,146,185
107年第4季, 大安區,626,244,382
107年第4季, 中山區,500,240,260
107年第4季, 中正區,385,192,193
107年第4季, 大同區,275,175,100
107年第4季, 萬華區,1125,739,386
107年第4季, 文山區,485,206,279
107年第4季, 南港區,206,96,110
107年第4季, 內湖區,186,82,104
107年第4季, 士林區,413,202,211
107年第4季, 北投區,262,129,133
108年第1季, 松山區,350,123,227
108年第1季, 信義區,337,148,189
108年第1季, 大安區,629,241,388
108年第1季, 中山區,511,237,274
108年第1季, 中正區,386,195,191
108年第1季, 大同區,294,189,105
108年第1季, 萬華區,1130,732,398
108年第1季, 文山區,504,212,292
108年第1季, 南港區,211,95,116
108年第1季, 內湖區,178,78,100
108年第1季, 士林區,435,212,223
108年第1季, 北投區,260,127,133
108年第2季, 松山區,339,120,219
108年第2季, 信義區,333,138,195
108年第2季, 大安區,644,242,402
108年第2季, 中山區,528,245,283
108年第2季, 中正區,393,192,201
108年第2季, 大同區,313,205,108
108年第2季, 萬華區,1123,725,398
108年第2季, 文山區,508,211,297
108年第2季, 南港區,215,97,118
108年第2季, 內湖區,190,85,105
108年第2季, 士林區,448,214,234
108年第2季, 北投區,265,131,134
108年第3季, 松山區,364,129,235
108年第3季, 信義區,344,138,206
108年第3季, 大安區,669,251,418
108年第3季, 中山區,526,241,285
108年第3季, 中正區,391,188,203
108年第3季, 大同區,319,206,113
108年第3季, 萬華區,1150,742,408
108年第3季, 文山區,510,206,304
108年第3季, 南港區,225,99,126
108年第3季, 內湖區,200,88,112
108年第3季, 士林區,452,221,231
108年第3季, 北投區,275,135,140
108年第4季, 松山區,370,136,234
108年第4季, 信義區,356,140,216
108年第4季, 大安區,681,252,429
108年第4季, 中山區,537,243,294
108年第4季, 中正區,405,196,209
108年第4季, 大同區,326,211,115
108年第4季, 萬華區,1151,746,405
108年第4季, 文山區,508,209,299
108年第4季, 南港區,216,93,123
108年第4季, 內湖區,219,95,124
108年第4季, 士林區,462,224,238
108年第4季, 北投區,276,136,140
109年第1季, 松山區,387,143,244
109年第1季, 信義區,344,134,210
109年第1季, 大安區,707,260,447
109年第1季, 中山區,536,237,299
109年第1季, 中正區,408,192,216
109年第1季, 大同區,337,219,118
109年第1季, 萬華區,1161,739,422
109年第1季, 文山區,529,215,314
109年第1季, 南港區,232,100,132
109年第1季, 內湖區,223,100,123
109年第1季, 士林區,470,225,245
109年第1季, 北投區,284,141,143
109年第2季, 松山區,390,143,247
109年第2季, 信義區,352,138,214
109年第2季, 大安區,717,262,455
109年第2季, 中山區,546,241,305
109年第2季, 中正區,410,190,220
109年第2季, 大同區,370,237,133
109年第2季, 萬華區,1200,752,448
109年第2季, 文山區,531,215,316
109年第2季, 南港區,255,117,138
109年第2季, 內湖區,251,118,133
109年第2季, 士林區,464,221,243
109年第2季, 北投區,284,142,142
