ID(序號),Area(行政區),Address(地址),Longitude(經度),Latitude(緯度)
1,松山區,臺北市松山區南京東路4段與敦化北路口(箱編:3019),121.549319,25.052197
2,松山區,臺北市松山區民生東路5段180號前(箱編:4013),121.5633012,25.0584047
3,松山區,臺北市松山區三民路113巷口(箱編:4035),121.56342,25.057956
4,松山區,臺北市松山區民生東路5段188號前(箱編:4032),121.5619842,25.0586844
5,松山區,臺北市松山區民權東路5段10號(箱編:4010),121.563652,25.06279
6,松山區,臺北市松山區民權東路4段200號前(箱編:4054),121.562868,25.06273
7,松山區,臺北市松山區健康路健康路174號長壽公園人行道(箱編:0000),121.5589966,25.0538041
8,松山區,臺北市松山區南京東路5段346號公園入口佈告欄(箱編:0000),121.569131,25.051108
9,松山區,臺北市松山區民生東路5段186號前(箱編:4033),121.563605,25.058502
10,松山區,臺北市松山區健康路325巷7號公佈欄(箱編:0000),121.567131,25.055672
11,松山區,臺北市松山區光復北路165巷口(箱編:4009),121.555448,25.057199
12,松山區,臺北市松山區民生東路5段163之1號右側(箱編:4003),121.56305,25.059082
13,松山區,臺北市松山區南京東路4段55之1號-捷運台北小巨蛋5號出口附近(箱編:1014),121.5522933,25.0517606
14,松山區,臺北市松山區三民路64號(箱編:1015),121.563908,25.054931
15,松山區,臺北市松山區寶清街21號公園入口處公佈欄(箱編:0000),121.568823,25.050216
16,松山區,臺北市松山區敦化北路5號市立體育場公車站旁(箱編:2030),121.549221,25.049045
17,松山區,臺北市松山區南京東路4段2號捷運小巨蛋2號出口(箱編:2058),121.550791,25.051583
18,松山區,臺北市松山區敦化北路2號-八德路2段與敦化北路交叉口公車站對面(箱編:2078),121.548629,25.048381
19,松山區,臺北市松山區敦化北路150號(箱編:2003),121.548679,25.054613
20,松山區,臺北市松山區敦化北路100號(箱編:2005),121.548661,25.053381
21,松山區,臺北市松山區撫遠街塔悠路(迎風狗運動公園01),121.565726,25.072076
22,松山區,臺北市松山區撫遠街塔悠路(迎風狗運動公園02),121.56558,25.071985
23,松山區,臺北市松山區撫遠街塔悠路(迎風狗運動公園03),121.565468,25.072416
24,松山區,臺北市松山區撫遠街塔悠路(迎風狗運動公園04),121.56496,25.072211
25,松山區,臺北市松山區撫遠街塔悠路(迎風狗運動公園05),121.565037,25.07176
26,松山區,臺北市松山區撫遠街塔悠路(迎風狗運動公園06),121.564884,25.071703
27,松山區,臺北市松山區松河街成美左岸河濱公園(彩虹橋下),121.57673,25.051548
28,松山區,臺北市松山區民生東路4段97巷4弄20號旁富錦五號公園(洗手台旁),121.553706,25.058881
29,松山區,臺北市松山區民生東路4段105號旁富錦六號公園(告示牌旁),121.553175,25.058216
30,松山區,臺北市松山區敦化北路244巷31號前民有一號公園(佈告欄旁),121.547524,25.060635
31,松山區,臺北市松山區民生東路3段113巷14號前民有二號公園(佈告欄旁),121.546396,25.05978
32,松山區,臺北市松山區民生東路4段97巷6弄2號旁精忠公園(工具箱旁),121.552367,25.059449
33,松山區,臺北市松山區健康路174號旁長壽公園(垃圾桶旁),121.558764,25.053466
34,松山區,臺北市松山區撫遠街367巷至389巷底撫遠公園(涼亭區),121.566731,25.064952
35,信義區,臺北市信義區松智路與松廉路口-信義廣場(編號:1060),121.565492,25.033955
36,信義區,臺北市信義區仁愛路4段國父紀念館大門左側(編號:1011),121.5589422,25.0377402
37,信義區,臺北市信義區信義路5段6號(編號:3003),121.560315,25.032894
38,信義區,臺北市信義區仁愛路4段與逸仙路口-1國父紀念館(編號:1015),121.561691,25.03761
39,信義區,臺北市信義區光復南路光復國小-1(編號:1032),121.5577379,25.0403813
40,信義區,臺北市信義區仁愛路4段與光復南路口-2(編號:1010),121.5578921,25.0377966
41,信義區,臺北市信義區忠孝東路4段與逸仙路口(編號:1006),121.561509,25.041137
42,信義區,臺北市信義區基隆路2段21號(編號:3002),121.5591208,25.0319925
43,信義區,臺北市信義區逸仙路與松高路口(編號:1043),121.561459,25.03908
44,信義區,臺北市信義區基隆路2段131-22號(箱編:0000),121.5562783,25.0273456
45,信義區,臺北市信義區松隆路松山車站公車站牌前(編號:2004),121.578875,25.048221
46,信義區,臺北市信義區忠孝東路5段723號對面公車站牌旁-春光公園(編號:5004),121.58077,25.04264
47,信義區,臺北市信義區市民大道6段與松山車站西門對面(編號:2003),121.5784438,25.04899609
48,信義區,臺北市信義區信義路5段11號信義廣場(信義廣場狗活動區),121.56598,25.033635
49,信義區,臺北市信義區松德路180巷松德公園,121.572989,25.035396
50,信義區,臺北市信義區松勇路47號旁信義安康公園,121.569906,25.035445
51,信義區,臺北市信義區信義路6段76巷2弄松友公園,121.576429,25.034237
52,信義區,臺北市信義區信義路6段76巷8弄虎林公園,121.574763,25.031224
53,信義區,臺北市信義區吳興街583巷與600巷67弄間泰和公園,121.571024,25.019113
54,信義區,臺北市信義區莊敬路197巷眷村文化公園,121.561985,25.030869
55,信義區,臺北市信義區松山路永春陂濕地公園01,121.580791,25.033055
56,信義區,臺北市信義區松山路永春陂濕地公園02,121.581156,25.033993
57,信義區,臺北市信義區永吉路30巷102弄厚生廣場,121.567811,25.043543
58,信義區,臺北市信義區吳興街220巷59弄旁景勤1號公園01,121.561531,25.026801
59,信義區,臺北市信義區吳興街220巷59弄旁景勤1號公園02,121.5616,25.026744
60,信義區,臺北市信義區吳興街220巷59弄旁景勤1號公園03,121.561032,25.028009
61,信義區,臺北市信義區虎林街164巷與松德路邊中全公園,121.5754438,25.038592
62,信義區,臺北市信義區永吉路120巷80弄富生三公園,121.569332,25.04282
63,信義區,臺北市信義區基隆路1段109巷與松隆路邊革新公園,121.567316,25.043706
64,信義區,臺北市信義區松隆路272號與永吉路225巷邊五常公園,121.574297,25.047432
65,信義區,臺北市信義區莊敬路289巷口景平公園,121.563989,25.029786
66,信義區,臺北市信義區吳興街156巷40弄與吳興街118巷間三興公園,121.559772,25.028588
67,信義區,臺北市信義區信安街67巷景勤2號公園,121.5579557,25.02607938
68,信義區,臺北市信義區吳興街600巷旁糶米公園,121.5718749,25.01850836
69,大安區,臺北市大安區和平東路1段162號(箱編:4004 ),121.527504,25.02657
70,大安區,臺北市大安區和平東路2段20號前(箱編:7015 ),121.536181,25.025722
71,大安區,臺北市大安區敦化南路2段120號鳳雛公園(箱編:5012 ),121.548455,25.0265281
72,大安區,臺北市大安區和平東路2段與瑞安街口(箱編:6027 ),121.53868,25.025691
73,大安區,臺北市大安區瑞安街與和平東路2段交叉口(箱編:6026 ),121.539077,25.025627
74,大安區,臺北市大安區新生南路2段36號(箱編:4012 ),121.533551,25.030343
75,大安區,臺北市大安區和平東路2段大安森林公園站牌(箱編:6030 ),121.536437,25.025973
76,大安區,臺北市大安區愛國東路31號(箱編:4032 ),121.525628,25.031948
77,大安區,臺北市大安區和平東路1段22號(箱編:4005),121.523637,25.026881
78,大安區,臺北市大安區愛國東路244號(箱編:4033 ),121.525438,25.031802
79,大安區,臺北市大安區仁愛路3段22號(箱編:2013 ),121.534435,25.03773127
80,大安區,臺北市大安區忠孝東路3段276巷口(箱編:2005 ),121.5423852,25.04150092
81,大安區,臺北市大安區忠孝東路3段287號(箱編:2006 ),121.5428627,25.04177309
82,大安區,臺北市大安區建國南路2段306號前公車亭(箱編:7019 ),121.53738,25.024084
83,大安區,臺北市大安區敦化南路2段成功國宅站牌(箱編:3001 ),121.549066,25.027255
84,大安區,臺北市大安區敦化南路2段29號(箱編:3003 ),121.5489996,25.0322905
85,大安區,臺北市大安區和平東路2段42-1號建國高架橋下(箱編:7002),121.537434,25.025553
86,大安區,臺北市大安區仁愛路4段296號(箱編:3010 ),121.553678,25.0375768
87,大安區,臺北市大安區和平東路1段104巷旁(箱編:4019 ),121.528326,25.026505
88,大安區,臺北市大安區基隆路與和平東路口-六張犁捷運站(箱編:5029 ),121.55262,25.023926
89,大安區,臺北市大安區忠孝東路4段120號(箱編:1017),121.547446,25.041396
90,大安區,臺北市大安區敦化南路1段226號(箱編:1032),121.548503,25.040943
91,大安區,臺北市大安區辛亥路3段239號青峰公園(青峰狗活動區),121.551481,25.015586
92,大安區,臺北市大安區基隆路4段溪洲河濱公園(福和橋下),121.532641,25.008998
93,大安區,臺北市大安區思源街古亭河濱公園(永福橋下),121.527752,25.011369
94,大安區,臺北市大安區嘉興街與樂業街交叉口嘉興公園,121.551648,25.021296
95,大安區,臺北市大安區溫州街46巷大學公園,121.532633,25.021862
96,大安區,臺北市大安區安東街52號大安公園,121.54255,25.042974
97,大安區,臺北市大安區羅斯福路3段283巷與新生南路3段86巷口溫州公園,121.531326,25.018915
98,大安區,臺北市大安區復興南路至建國南路?公圳公園,121.543276,25.043366
99,大安區,臺北市大安區復興南路1段135巷與大安路1段路口?公公園,121.545795,25.042385
100,大安區,臺北市大安區復興南路2段78巷42弄龍圖公園,121.541635,25.030503
101,大安區,臺北市大安區和平東路2段118巷6弄和平公園,121.5424319,25.0235719
102,大安區,臺北市大安區師大路92巷古莊公園(工具間旁),121.527519,25.022434
103,中山區,臺北市中山區民權東路3段榮星公園周邊近建國北路(箱編:2037),121.538313,25.062514
104,中山區,臺北市中山區龍江路公車專用道候車亭與南京東路口(箱編:4001),121.540572,25.051952
105,中山區,臺北市中山區林森北路40號(箱編:6029),121.524181,25.048144
106,中山區,臺北市中山區中山北路1段53巷口(箱編:6028),121.522716,25.049056
107,中山區,臺北市中山區林森北路15號公園周邊(箱編:6008),121.525313,25.053368
108,中山區,臺北市中山區南京東路1段1號(箱編:6013),121.522835,25.052328
109,中山區,臺北市中山區南京東路1段公車站-雙號(箱編:6010),121.525092,25.052094
110,中山區,臺北市中山區南京東路1段公車站-單號(箱編:6005),121.525722,25.05211
111,中山區,臺北市中山區林森北路14號公園周邊(箱編:6002),121.527328,25.053371
112,中山區,臺北市中山區林森北路14號公園周邊(箱編:6006),121.525526,25.053471
113,中山區,臺北市中山區渭水路3巷旁(箱編:7026),121.533556,25.045737
114,中山區,臺北市中山區中山北路3段市立美術館前(箱編:1041),121.523945,25.072079
115,中山區,臺北市中山區建國北路與南京東路口(箱編:4054),121.537157,25.052036
116,中山區,臺北市中山區中山北路3段62號圓山派出所前(箱編:1037),121.523932,25.072711
117,中山區,臺北市中山區北安路520號對面(箱編:5003),121.546367,25.079964
118,中山區,臺北市中山區濱江街大佳河濱公園(膜構旁),121.538717,25.07429
119,中山區,臺北市中山區樂群一路美堤河濱公園(天空咖啡周邊),121.560358,25.076033
120,中山區,臺北市中山區林森北路右側與市民大道2段交叉口華山公園01,121.52504,25.047954
121,中山區,臺北市中山區林森北路左側與市民大道2段交叉口華山公園02,121.525785,25.047814
122,中山區,臺北市中山區天津街左側與市民大道2段交叉口華山公園03,121.522177,25.048277
123,中山區,臺北市中山區中山北路2段65巷2弄中安公園,121.523893,25.056533
124,中山區,臺北市中山區基湖路120巷30弄中430公園(告示牌旁),121.561919,25.078461
125,中山區,臺北市中山區基湖路151巷46弄對面中431公園(告示牌旁),121.565289,25.07735
126,中山區,臺北市中山區北安路608巷14弄1號永直公園,121.550437,25.081476
127,中山區,臺北市中山區遼寧街116巷旁興國公園,121.541844,25.053112
128,中正區,臺北市中正區羅斯福路4段142號(箱編:6024),121.535972,25.012837
129,中正區,臺北市中正區天津街警政署側門旁(箱編:3021),121.521919,25.046156
130,中正區,臺北市中正區北平東路與林森北路口(箱編:3032),121.5237645,25.0463432
131,中正區,臺北市中正區信義路1段南側與中山南路口-中正紀念堂旁(箱編:2032),121.51813,25.038335
132,中正區,臺北市中正區信義路1段1號北側與中山南路口-張榮發基金會前(箱編:2027),121.517701,25.038746
133,中正區,臺北市中正區中山南路與愛國東路口-捷運站5號出口(箱編:2005),121.51712,25.034755
134,中正區,臺北市中正區公園路台大醫院3號出口-復健部(箱編:1069),121.5167524,25.0431906
135,中正區,臺北市中正區公園路台大醫院捷運站4號出入口(箱編:1071),121.5164174,25.042759
136,中正區,臺北市中正區羅斯福路3段46巷口(箱編:4031),121.525523,25.022885
137,中正區,臺北市中正區南昌路1段1-1號(箱編:4013),121.515377,25.033786
138,中正區,臺北市中正區汀州路2段19號對面螢橋國小公車站牌(箱編:4002),121.51471,25.026074
139,中正區,臺北市中正區和平西路2段植物園前(箱編:5020),121.508572,25.030945
140,中正區,臺北市中正區和平西路2段104巷口(箱編:5034),121.508276,25.03095
141,中正區,臺北市中正區公園路228公園與常德街口(箱編:1073),121.5160573,25.0415
142,中正區,臺北市中正區仁愛路1段南側與中山南路口-張榮發基金會前(箱編:2029),121.518236,25.0390875
143,中正區,臺北市中正區市民大道2段與林森北路口(華山公園狗活動區01),121.523707,25.047322
144,中正區,臺北市中正區市民大道2段與林森北路口(華山公園狗活動區02),121.523713,25.047387
145,中正區,臺北市中正區市民大道2段與林森北路口(華山公園狗活動區03),121.523476,25.047595
146,中正區,臺北市中正區市民大道2段與林森北路口(華山公園狗活動區04),121.523529,25.047602
147,中正區,臺北市中正區北平東路30號中央藝文公園01(大草坪旁跑道彎角處),121.526091,25.0468402
148,中正區,臺北市中正區北平東路30號中央藝文公園02(市民大道入口處),121.5276698,25.0468198
149,中正區,臺北市中正區凱達格蘭大道3號二二八和平公園(靠近衡陽路出口),121.5144955,25.0422985
150,中正區,臺北市中正區寧波西街181巷30號永昌公園(靠近溜滑梯的涼亭旁),121.5102214,25.0264497
151,大同區,臺北市大同區敦煌路環河北路2段口01(箱編:2016),121.510139,25.076248
152,大同區,臺北市大同區寧夏路與南京西路口鄰里公園前(箱編:4048),121.514835,25.05428
153,大同區,臺北市大同區承德路3段336號-明倫高中新大門前(箱編:1018),121.519113,25.075608
154,大同區,臺北市大同區塔城街忠孝西路口(箱編:3042),121.509598,25.048334
155,大同區,臺北市大同區平陽街10號斜對面人行道上(箱編:4011),121.516411,25.055363
156,大同區,臺北市大同區敦煌路環河北路2段口02(箱編:2021),121.510282,25.076276
157,大同區,臺北市大同區敦煌路163號對面(箱編:2023),121.511446,25.076393
158,大同區,臺北市大同區蘭州街56號對面蘭州公園(箱編:1029),121.51519,25.06411
159,大同區,臺北市大同區塔城街塔城公園之公車亭後方(箱編:3029),121.510572,25.050675
160,大同區,臺北市大同區民生西路241號天主堂旁公車站牌(箱編:4038),121.515061,25.057138
161,大同區,臺北市大同區承德路2段成淵高中前公車站(箱編:4018),121.518386,25.060865
162,大同區,臺北市大同區環河北路2段污水廠(箱編:2018),121.50911,25.07356
163,大同區,臺北市大同區忠孝西路2段11號旁(箱編:3041),121.509014,25.048448
164,大同區,臺北市大同區環河北路2段污水處理廠(箱編:2017),121.50921,25.07268
165,大同區,臺北市大同區忠孝西路2段25號旁(箱編:3044),121.508449,25.048598
166,大同區,臺北市大同區承德路3段336號明倫高中舊大門(箱編:1017),121.519837,25.075358
167,大同區,臺北市大同區承德路3段303之1號(箱編:1019),121.520205,25.075986
168,大同區,臺北市大同區民權西路84號花圃旁(箱編:4019),121.519061,25.062719
169,大同區,臺北市大同區環河北路2段延平河濱公園堤外綠地(延平狗活動區01),121.508627,25.074328
170,大同區,臺北市大同區環河北路2段延平河濱公園堤外綠地(延平狗活動區02),121.508554,25.074313
171,大同區,臺北市大同區民生西路延平河濱公園(大稻埕碼頭廣場),121.507448,25.056344
172,大同區,臺北市大同區大龍街樹德公園(告示牌旁01),121.516139,25.066691
173,大同區,臺北市大同區大龍街樹德公園(告示牌旁02),121.516174,25.066756
174,大同區,臺北市大同區民權西路184巷11弄德鄰公園(告示牌旁),121.514711,25.062033
175,大同區,臺北市大同區錦西街51號對面蔣渭水公園,121.516513,25.059894
176,大同區,臺北市大同區歸綏街241號隔壁大稻埕公園,121.510437,25.058914
177,大同區,臺北市大同區大龍街244號大龍公園,121.515605,25.070481
178,大同區,臺北市大同區蘭州街89巷蘭州公園(告示牌旁),121.515288,25.064198
179,大同區,臺北市大同區塔城街7號旁塔城公園,121.510795,25.050789
180,大同區,臺北市大同區重慶北路2段與歸綏街口歸綏公園,121.512998,25.058153
181,大同區,臺北市大同區迪化街2段243巷迪化公園(告示牌旁),121.512073,25.071172
182,大同區,臺北市大同區歸綏街250巷忠和公園,121.508776,25.057977
183,大同區,臺北市大同區重慶北路2段70巷朝陽公園01,121.513564,25.055968
184,大同區,臺北市大同區重慶北路2段70巷朝陽公園02,121.513522,25.056109
185,大同區,臺北市大同區昌吉街131巷西側國順公園,121.509857,25.066044
186,大同區,臺北市大同區敦煌路125號大同248綠地,121.513,25.0766
187,大同區,臺北市大同區迪化街364巷西北側大同249綠地,121.5098,25.0772
188,大同區,臺北市大同區迪化街364巷東南側大同250綠地,121.5097,25.0772
189,大同區,臺北市大同區環河北路敦煌路口三角綠地大同251號綠地,121.509547,25.076923
190,萬華區,臺北市萬華區青年路184號對面停車格第40號(箱編:6017),121.503385,25.0206953
191,萬華區,臺北市萬華區中華路1段90號前(箱編:1016),121.508752,25.044769
192,萬華區,臺北市萬華區環河南路1段280號之1對面公園(箱編:2015),121.500056,25.041851
193,萬華區,臺北市萬華區和平西路3段235號龍山國小大門口旁(箱編:3009),121.496302,25.0355
194,萬華區,臺北市萬華區環河南路2段278號大森幼稚園前(箱編:4012),121.491389,25.032124
195,萬華區,臺北市萬華區環河南路3段與武成街101巷口公佈欄旁(箱編:5009),121.493611,25.018889
196,萬華區,臺北市萬華區中華路1段與開封街口(箱編:1003),121.509163,25.046095
197,萬華區,臺北市萬華區環河南路3段121號旁(箱編:5010),121.49109,25.024009
198,萬華區,臺北市萬華區環河南路1段280號之1對面(箱編:2010),121.49984,25.041505
199,萬華區,臺北市萬華區環河南路3段203號(箱編:5011),121.492342,25.021614
200,萬華區,臺北市萬華區環河南路2段250巷31號對面(箱編:4002),121.489866,25.034227
201,萬華區,臺北市萬華區中華路1段100號(箱編:1009),121.508574,25.044128
202,萬華區,臺北市萬華區峨嵋街58號(箱編:2027),121.504928,25.043986
203,萬華區,臺北市萬華區西園路2段281巷口與德昌街-錦德公園(箱編:5013),121.492233,25.023097
204,萬華區,臺北市萬華區和平西路3段382巷12弄54號斜對面(箱編:4005),121.490291,25.034722
205,萬華區,臺北市萬華區水源路199號(箱編:6002),121.507341,25.02219
206,萬華區,臺北市萬華區長順街123巷口(箱編:4010),121.488865,25.032382
207,萬華區,臺北市萬華區環河南路1段280之3號前(箱編:2026),121.499565,25.041535
208,萬華區,臺北市萬華區環河南路2段93號公車站牌前(箱編:3003),121.495077,25.036347
209,萬華區,臺北市萬華區環河南路2段95號天橋旁(箱編:3001),121.494812,25.035773
210,萬華區,臺北市萬華區環河南路3段287號-公車站旁(箱編:5005),121.493468,25.018699
211,萬華區,臺北市萬華區桂林路140號前(箱編:3002),121.498611,25.038564
212,萬華區,臺北市萬華區萬大路344巷口-萬大國小旁(箱編:5015),121.499943,25.023698
213,萬華區,臺北市萬華區中華路1段136號(箱編:1010),121.50839,25.04334
214,萬華區,臺北市萬華區長順街越堤綠地(華江狗活動區01),121.486591,25.032684
215,萬華區,臺北市萬華區長順街越堤綠地(華江狗活動區02),121.489946,25.032691
216,萬華區,臺北市萬華區青年路馬場町河濱公園(馬場町廣場),121.5044161,25.0193656
217,萬華區,臺北市萬華區萬大路華中河濱公園(華中橋下),121.4946264,25.0149813
218,萬華區,臺北市萬華區水源路199號青年公園01,121.503538,25.02082
219,萬華區,臺北市萬華區水源路199號青年公園02,121.506458,25.021876
220,萬華區,臺北市萬華區西園路1段與艋舺大道交叉口和平青草園公園01,121.497217,25.032519
221,萬華區,臺北市萬華區西園路1段與艋舺大道交叉口和平青草園公園02,121.49737,25.032858
222,萬華區,臺北市萬華區西園路1段與艋舺大道交叉口和平青草園公園03,121.497299,25.032903
223,萬華區,臺北市萬華區大理街160巷旁糖?文化園區01,121.494155,25.033195
224,萬華區,臺北市萬華區大理街160巷旁糖?文化園區02,121.494652,25.033795
225,萬華區,臺北市萬華區長順街46巷旁長順公園,121.488927,25.031883
226,萬華區,臺北市萬華區漢口街與昆明街交叉口福星公園,121.505923,25.04612
227,萬華區,臺北市萬華區寶興街140巷17弄孝德公園(體健設施旁),121.494302,25.02409
228,文山區,臺北市文山區景福街120號前(箱編:1007),121.536204,24.997088
229,文山區,臺北市文山區辛亥路4段85號對面(箱編:2020),121.558562,25.007168
230,文山區,臺北市文山區指南路3段38巷16之1號-樟湖橋(箱編:4010),121.587178,24.970748
231,文山區,臺北市文山區木柵路1段公車站牌-世新大學站(箱編:3009),121.544017,24.988485
232,文山區,臺北市文山區辛亥路4段95號對面(箱編:1002),121.558522,25.006791
233,文山區,臺北市文山區羅斯福路5段215號(箱編:1004),121.539049,25.0021799
234,文山區,臺北市文山區忠順街2段22號全聯超市前右側(箱編:3001),121.563188,24.984862
235,文山區,臺北市文山區指南路3段40巷草湳橋(箱編:4031),121.605581,24.970444
236,文山區,臺北市文山區忠順街2段22號全聯超市前左側(箱編:3007),121.563108,24.984886
237,文山區,臺北市文山區指南路3段38巷18之2號旁-貓空纜車站公車站牌對面(箱編:4012),121.587896,24.968292
238,文山區,臺北市文山區木柵路5段43巷151號福德坑復育園區01(第二停車場),121.591829,25.007652
239,文山區,臺北市文山區木柵路5段43巷151號福德坑復育園區02(第五停車場),121.593839,25.01178
240,文山區,臺北市文山區木柵路5段43巷151號福德坑復育園區03(太陽能廣場),121.592726,25.00906
241,文山區,臺北市文山區新光路2段道南河濱公園左岸(萬興狗活動區01),121.57604,24.997367
242,文山區,臺北市文山區新光路2段道南河濱公園左岸(萬興狗活動區02),121.576034,24.99733
243,文山區,臺北市文山區新光路2段道南河濱公園左岸(萬興狗活動區03),121.576155,24.997847
244,文山區,臺北市文山區新光路2段道南河濱公園左岸(萬興狗活動區04),121.576144,24.997815
245,文山區,臺北市文山區同安街109巷口天橋後(古亭狗活動區),121.519886,25.02068
246,文山區,臺北市文山區木新路2段299巷道南河濱公園(恆光橋下右岸),121.5678848,24.9811451
247,文山區,臺北市文山區木柵路1段木柵河濱公園(景美溪橋上游遊戲區廣場),121.544653,24.985377
248,文山區,臺北市文山區羅斯福路6段景美河濱公園(北新橋下塗鴉區),121.539449,24.988349
249,文山區,臺北市文山區木新路3段278巷7弄11號對面木新公園,121.557892,24.982256
250,文山區,臺北市文山區忠順街1段26巷26弄口樟樹公園,121.559456,24.982896
251,文山區,臺北市文山區忠順街1段121巷7弄12號樟林公園,121.559215,24.984804
252,文山區,臺北市文山區木新路2段43巷1號旁木南公園01,121.570801,24.986102
253,文山區,臺北市文山區木新路2段43巷1號旁木南公園02,121.570793,24.987205
254,文山區,臺北市文山區光輝路9-1號光輝公園,121.555981,24.986061
